HEXA FEM TOPOLOGY OPTIMIZATION LOG
Start Date: 2025-12-09T23:29:56.414
Config Geometry: Dict{Any, Any}("length_z" => 20, "target_elem_count" => "100_000", "sphere3" => Dict{Any, Any}("stiffness_ratio" => -10, "center" => Real[34.29, 5, 50], "diameter" => 4, "type" => "sphere"), "box1" => Dict{Any, Any}("stiffness_ratio" => 5, "center" => [28, 15, 50], "size" => [1, 2, 3], "type" => "box"), "length_y" => 20, "box2" => Dict{Any, Any}("stiffness_ratio" => 0, "center" => Real[45.06, 8.95, 50], "size" => [1, 4, 2], "type" => "box"), "length_x" => 60, "sphere2" => Dict{Any, Any}("stiffness_ratio" => 10, "center" => Real[60.38, -0.07, 50], "diameter" => 4, "type" => "sphere"), "sphere1" => Dict{Any, Any}("stiffness_ratio" => 0, "center" => Real[12.51, 28.49, 50], "diameter" => 8, "type" => "sphere"))
========================================================================================================================================================================================================
| Iter | Mesh Size | Total El | Active El | Radius | Cutoff | Compliance | Strain Energy | Avg L1 Stress | Vol Frac | Delta Rho | Refine? | Lin Res  | Prec   | Time (s) | Wall Time | VRAM |
|------|-----------|----------|-----------|--------|--------|------------|---------------|---------------|----------|-----------|---------|----------|--------|----------|-----------|------|
|    1 |  97x32x32 |    99328 |     99328 |  1.200 |  0.025 |  1.521e+04 |     7.604e+03 |     5.314e-01 |   1.0000 |    99.80% | Nominal |  8.9e-06 | Jacobi |     8.94 |  23:30:06 | 1.2G |
|    2 |  97x32x32 |    99328 |     98568 |  1.168 |  0.049 |  3.322e+04 |     1.661e+04 |     5.558e-01 |   0.2282 |    26.66% | Nominal |  8.2e-06 | Jacobi |     1.35 |  23:30:08 | 1.2G |
|    3 |  97x32x32 |    99328 |     95761 |  1.137 |  0.074 |  3.344e+04 |     1.672e+04 |     5.884e-01 |   0.2093 |    16.11% | Nominal |  7.9e-06 | Jacobi |     1.17 |  23:30:09 | 1.2G |
|    4 | 100x33x33 |   108900 |     97542 |  1.105 |  0.098 |  3.484e+04 |     1.742e+04 |     6.160e-01 |   0.1959 |    13.31% | Refined |  7.2e-06 | Jacobi |     1.95 |  23:30:11 | 1.2G |
|    5 | 105x35x35 |   128625 |    100470 |  1.074 |  0.123 |  3.710e+04 |     1.855e+04 |     6.404e-01 |   0.1870 |    22.22% | Refined |  6.7e-06 | Jacobi |     1.90 |  23:30:13 | 1.2G |
|    6 | 109x36x36 |   141264 |     97050 |  1.042 |  0.147 |  3.674e+04 |     1.837e+04 |     7.166e-01 |   0.1877 |    15.80% | Refined |  6.3e-06 | Jacobi |     2.03 |  23:30:16 | 1.2G |
|    7 | 114x38x38 |   164616 |    100404 |  1.011 |  0.171 |  3.792e+04 |     1.896e+04 |     8.092e-01 |   0.1839 |    18.37% | Refined |  5.8e-06 | Jacobi |     2.33 |  23:30:18 | 1.2G |
|    8 | 114x38x38 |   164616 |     90024 |  0.979 |  0.196 |  3.780e+04 |     1.890e+04 |     9.016e-01 |   0.1847 |    18.96% | Nominal |  5.3e-06 | Jacobi |     1.76 |  23:30:20 | 1.2G |
|    9 | 121x40x40 |   193600 |     95683 |  0.947 |  0.220 |  3.923e+04 |     1.961e+04 |     9.975e-01 |   0.1809 |    27.13% | Refined |  5.0e-06 | Jacobi |     2.64 |  23:30:23 | 1.2G |
|   10 | 126x42x42 |   222264 |     99420 |  0.916 |  0.245 |  4.012e+04 |     2.006e+04 |     1.095e+00 |   0.1783 |    29.14% | Refined |  4.6e-06 | Jacobi |     2.83 |  23:30:26 | 1.2G |
|   11 | 126x42x42 |   222264 |     90371 |  0.884 |  0.270 |  4.027e+04 |     2.013e+04 |     1.203e+00 |   0.1775 |    29.44% | Nominal |  4.3e-06 | Jacobi |     2.36 |  23:30:29 | 1.2G |
|   12 | 134x45x45 |   271350 |    100719 |  0.853 |  0.294 |  4.210e+04 |     2.105e+04 |     1.327e+00 |   0.1748 |    38.94% | Refined |  4.0e-06 | Jacobi |     3.36 |  23:30:32 | 1.2G |
|   13 | 134x45x45 |   271350 |     93455 |  0.821 |  0.318 |  4.196e+04 |     2.098e+04 |     1.425e+00 |   0.1756 |    36.09% | Nominal |  3.6e-06 | Jacobi |     2.72 |  23:30:35 | 1.2G |
|   14 | 141x47x47 |   311469 |     97424 |  0.789 |  0.343 |  4.357e+04 |     2.179e+04 |     1.546e+00 |   0.1682 |    43.59% | Refined |  3.3e-06 | Jacobi |     3.94 |  23:30:39 | 1.2G |
|   15 | 141x47x47 |   311469 |     91046 |  0.758 |  0.368 |  4.403e+04 |     2.202e+04 |     1.649e+00 |   0.1654 |    38.28% | Nominal |  3.2e-06 | Jacobi |     3.16 |  23:30:42 | 1.2G |
|   16 | 148x49x49 |   355348 |     95062 |  0.726 |  0.392 |  4.652e+04 |     2.326e+04 |     1.807e+00 |   0.1572 |    47.01% | Refined |  2.9e-06 | Jacobi |     4.10 |  23:30:47 | 1.3G |
|   17 | 148x49x49 |   355348 |     89654 |  0.695 |  0.417 |  4.745e+04 |     2.373e+04 |     1.930e+00 |   0.1541 |    43.65% | Nominal |  2.7e-06 | Jacobi |     3.43 |  23:30:50 | 1.2G |
|   18 | 155x52x52 |   419120 |     99444 |  0.663 |  0.441 |  5.007e+04 |     2.504e+04 |     2.061e+00 |   0.1485 |    52.30% | Refined |  2.5e-06 | Jacobi |     4.72 |  23:30:55 | 1.3G |
|   19 | 155x52x52 |   419120 |     93728 |  0.632 |  0.465 |  5.140e+04 |     2.570e+04 |     2.177e+00 |   0.1416 |    47.25% | Nominal |  2.3e-06 | Jacobi |     4.05 |  23:30:59 | 1.3G |
|   20 | 162x54x54 |   472392 |     96820 |  0.600 |  0.490 |  5.452e+04 |     2.726e+04 |     2.346e+00 |   0.1307 |    54.54% | Refined |  2.1e-06 | Jacobi |     5.35 |  23:31:05 | 1.3G |
